 q,amplitude,
0.258333354,-0.235,-0.145
0.261111132,-0.225,-0.115
0.26388891,-0.23,-0.095
0.266666688,-0.255,-0.085
0.269444466,-0.275,-0.095
0.272222244,-0.29,-0.085
0.275000022,-0.3,-0.09
0.2777778,-0.305,-0.075
0.280555578,-0.31,-0.075
0.283333356,-0.33,-0.1
0.286111134,-0.345,-0.105
0.288888912,-0.355,-0.115
0.29166669,-0.365,-0.115
0.294444468,-0.355,-0.1
0.297222246,-0.365,-0.1
0.300000024,-0.38,-0.12
0.302777802,-0.395,-0.135
0.30555558,-0.4,-0.125
0.308333358,-0.38,-0.115
0.311111136,-0.37,-0.12
0.313888914,-0.385,-0.115
0.316666692,-0.38,-0.13
0.31944447,-0.395,-0.125
0.322222248,-0.4,-0.125
0.325000026,-0.39,-0.12
0.327777804,-0.385,-0.12
0.330555582,-0.37,-0.115
0.33333336,-0.385,-0.115
0.336111138,-0.38,-0.125
0.338888916,-0.385,-0.125
0.341666694,-0.385,-0.12
0.344444472,-0.38,-0.115
0.34722225,-0.38,-0.1
0.350000028,-0.39,-0.11
0.352777806,-0.415,-0.125
0.355555584,-0.465,-0.125
0.358333362,-0.52,-0.125
0.36111114,-0.555,-0.14
0.363888918,-0.56,-0.145
0.366666696,-0.52,-0.15
0.369444474,-0.47,-0.135
0.372222252,-0.38,-0.095
0.37500003,-0.2,-0.05
0.377777808,0.095,0.035
0.380555586,0.465,0.18
0.383333364,0.86,0.37
0.386111142,1.255,0.61
0.38888892,1.605,0.885
0.391666698,1.845,1.165
0.394444476,1.95,1.36
0.397222254,1.885,1.415
0.400000032,1.58,1.28
0.40277781,1.06,0.95
0.405555588,0.45,0.49
0.408333366,-0.03,0.02
0.411111144,-0.32,-0.32
0.413888922,-0.45,-0.52
0.4166667,-0.48,-0.545
0.419444478,-0.465,-0.485
0.422222256,-0.385,-0.36
0.425000034,-0.315,-0.23
0.427777812,-0.255,-0.13
0.43055559,-0.27,-0.075
0.433333368,-0.305,-0.055
0.436111146,-0.33,-0.075
0.438888924,-0.35,-0.085
0.441666702,-0.365,-0.09
0.44444448,-0.355,-0.075
0.447222258,-0.36,-0.08
0.450000036,-0.385,-0.08
0.452777814,-0.405,-0.115
0.455555592,-0.43,-0.11
0.45833337,-0.42,-0.1
0.461111148,-0.425,-0.105
0.463888926,-0.43,-0.105
0.466666704,-0.445,-0.12
0.469444482,-0.445,-0.12
0.47222226,-0.45,-0.125
0.475000038,-0.44,-0.1
0.477777816,-0.435,-0.105
0.480555594,-0.44,-0.09
0.483333372,-0.445,-0.105
0.48611115,-0.445,-0.11
0.488888928,-0.445,-0.1
0.491666706,-0.445,-0.1
0.494444484,-0.44,-0.08
0.497222262,-0.44,-0.09
0.50000004,-0.44,-0.1
0.502777818,-0.45,-0.11
0.505555596,-0.455,-0.09
0.508333374,-0.435,-0.09
0.511111152,-0.43,-0.07
0.51388893,-0.425,-0.07
0.516666708,-0.43,-0.08
0.519444486,-0.43,-0.095
0.522222264,-0.435,-0.085
0.525000042,-0.43,-0.075
0.52777782,-0.415,-0.075
0.530555598,-0.41,-0.07
0.533333376,-0.42,-0.07
0.536111154,-0.415,-0.08
0.538888932,-0.42,-0.07
0.54166671,-0.405,-0.06
0.544444488,-0.4,-0.055
0.547222266,-0.395,-0.05
0.550000044,-0.39,-0.06
0.552777822,-0.385,-0.065
0.5555556,-0.39,-0.055
0.558333378,-0.375,-0.05
0.561111156,-0.36,-0.035
0.563888934,-0.35,-0.04
0.566666712,-0.35,-0.03
0.56944449,-0.335,-0.035
0.572222268,-0.34,-0.03
0.575000046,-0.32,-0.015
0.577777824,-0.305,0
0.580555602,-0.305,-0.005
0.58333338,-0.29,-0.01
0.586111158,-0.275,-0.01
0.588888936,-0.265,0.01
0.591666714,-0.24,0.025
0.594444492,-0.225,0.035
0.59722227,-0.205,0.045
0.600000048,-0.185,0.055
0.602777826,-0.175,0.045
0.605555604,-0.165,0.06
0.608333382,-0.13,0.085
0.61111116,-0.115,0.1
0.613888938,-0.08,0.125
0.616666716,-0.08,0.115
0.619444494,-0.06,0.12
0.622222272,-0.045,0.135
0.62500005,-0.025,0.15
0.627777828,0.005,0.17
0.630555606,0.025,0.17
0.633333384,0.02,0.17
0.636111162,0.04,0.165
0.63888894,0.055,0.175
0.641666718,0.07,0.195
0.644444496,0.08,0.21
0.647222274,0.11,0.215
0.650000052,0.11,0.225
0.65277783,0.115,0.215
0.655555608,0.125,0.22
0.658333386,0.145,0.24
0.661111164,0.155,0.255
0.663888942,0.155,0.26
0.66666672,0.14,0.26
0.669444498,0.145,0.25
0.672222276,0.145,0.255
0.675000054,0.145,0.265
0.677777832,0.145,0.255
0.68055561,0.13,0.255
0.683333388,0.095,0.24
0.686111166,0.075,0.22
0.688888944,0.06,0.21
0.691666722,0.04,0.215
0.6944445,0.04,0.205
0.697222278,0.025,0.19
0.700000056,-0.005,0.165
0.702777834,-0.04,0.15
0.705555612,-0.07,0.135
0.70833339,-0.08,0.13
0.711111168,-0.1,0.11
0.713888946,-0.12,0.1
0.716666724,-0.15,0.085
0.719444502,-0.17,0.06
0.72222228,-0.19,0.06
0.725000058,-0.195,0.045
0.727777836,-0.195,0.045
0.730555614,-0.21,0.03
0.733333392,-0.22,0.01
0.73611117,-0.245,-0.01
0.738888948,-0.265,-0.03
0.741666726,-0.27,-0.015
0.744444504,-0.265,-0.015
0.747222282,-0.275,-0.025
0.75000006,-0.28,-0.045
0.752777838,-0.305,-0.06
0.755555616,-0.305,-0.055
0.758333394,-0.295,-0.06
0.761111172,-0.285,-0.055
0.76388895,-0.295,-0.055
0.766666728,-0.295,-0.07
0.769444506,-0.295,-0.07
0.772222284,-0.3,-0.065
0.775000062,-0.31,-0.06
0.77777784,-0.295,-0.055
0.780555618,-0.29,-0.05
0.783333396,-0.295,-0.07
0.786111174,-0.3,-0.075
0.788888952,-0.31,-0.065
0.79166673,-0.3,-0.05
0.794444508,-0.295,-0.055
0.797222286,-0.28,-0.045
0.800000064,-0.295,-0.045
0.802777842,-0.285,-0.065
0.80555562,-0.295,-0.06
0.808333398,-0.285,-0.05
0.811111176,-0.275,-0.055
0.813888954,-0.285,-0.04
0.816666732,-0.295,-0.055
0.81944451,-0.3,-0.06
0.822222288,-0.295,-0.055
0.825000066,-0.275,-0.025
0.827777844,-0.275,-0.03
0.830555622,-0.26,-0.02
0.8333334,-0.265,-0.03
0.836111178,-0.285,-0.055
0.838888956,-0.29,-0.035
0.841666734,-0.27,-0.02
0.844444512,-0.265,-0.015
0.84722229,-0.275,-0.015
0.850000068,-0.27,-0.035
0.852777846,-0.275,-0.035
0.855555624,-0.275,-0.04
0.858333402,-0.265,-0.03
0.86111118,-0.27,-0.02
0.863888958,-0.26,-0.015
0.866666736,-0.275,-0.03
0.869444514,-0.27,-0.035
0.872222292,-0.28,-0.035
0.87500007,-0.26,-0.02
0.877777848,-0.27,-0.015
0.880555626,-0.26,-0.025
0.883333404,-0.275,-0.03
0.886111182,-0.29,-0.045
0.88888896,-0.3,-0.035
0.891666738,-0.29,-0.025
0.894444516,-0.27,-0.03
0.897222294,-0.28,-0.025
0.900000072,-0.3,-0.05
0.90277785,-0.305,-0.05
0.905555628,-0.31,-0.06
0.908333406,-0.3,-0.045
0.911111184,-0.28,-0.03
0.913888962,-0.285,-0.04
0.91666674,-0.295,-0.055
0.919444518,-0.3,-0.075
0.922222296,-0.315,-0.075
0.925000074,-0.305,-0.06
0.927777852,-0.3,-0.06
0.93055563,-0.3,-0.06
0.933333408,-0.31,-0.07
0.936111186,-0.315,-0.09
0.938888964,-0.335,-0.08
0.941666742,-0.33,-0.085
0.94444452,-0.32,-0.07
0.947222298,-0.325,-0.085
0.950000076,-0.33,-0.08
0.952777854,-0.34,-0.095
0.955555632,-0.34,-0.1
0.95833341,-0.35,-0.095
0.961111188,-0.34,-0.085
0.963888966,-0.34,-0.095
0.966666744,-0.34,-0.095
0.969444522,-0.35,-0.105
0.9722223,-0.36,-0.1
0.975000078,-0.35,-0.105
0.977777856,-0.345,-0.08
0.980555634,-0.35,-0.1
0.983333412,-0.345,-0.11
0.98611119,-0.355,-0.12
0.988888968,-0.365,-0.12
0.991666746,-0.36,-0.11
0.994444524,-0.345,-0.1
0.997222302,-0.345,-0.115
